evidence_id,title,date,institution,document_type,classification,access,repository,path,public_url,essay,notes
BD-E-000001,Scott Tredwell letter not allocating a PID,2023-03-27,Federal Court of Australia,authorised-officer letter,A,opened,wezzo72/Backup,client/public/documents/2023-03-27-federal-court-final-assessment-dr-rich-mclean.pdf,https://github.com/wezzo72/Backup/blob/main/client/public/documents/2023-03-27-federal-court-final-assessment-dr-rich-mclean.pdf,01,Letter is inside a PDF with archive covers. Decision is non-allocation. Not a judgment.
BD-E-000002,McLean and Comcare reasons,2023-07-12,Administrative Appeals Tribunal,tribunal reasons,A,opened,wezzo72/Barrandodger,docs/official-drive/McLean-and-Comcare-FINAL-Decision.pdf,https://github.com/wezzo72/Barrandodger/blob/main/docs/official-drive/McLean-and-Comcare-FINAL-Decision.pdf,02,Affirms decision. Not satisfied of SRC Act employment.
BD-E-000003,AAT registry letter 2021/7478,2023-07-12,Administrative Appeals Tribunal,registry letter,A,opened,wezzo72/Barrandodger,docs/official-drive/ART-2021-7478-McLean-and-Comcare-Decision-12-July-2023.pdf,https://github.com/wezzo72/Barrandodger/blob/main/docs/official-drive/ART-2021-7478-McLean-and-Comcare-Decision-12-July-2023.pdf,02,Cover letter only. Says the decision was affirmed.
BD-E-000004,Comcare determination claim 1326583/1,2021-05-26,Comcare,determination,A,opened,wezzo72/Barrandodger,docs/official-drive/McLean-determination-Comcare-rejection-26May2021.pdf,https://github.com/wezzo72/Barrandodger/blob/main/docs/official-drive/McLean-determination-Comcare-rejection-26May2021.pdf,03,Declined. Employee test not met.
BD-E-000005,NDIS Commission email on provider status,2021-06-03,NDIS Quality and Safeguards Commission,email,A,opened,wezzo72/Barrandodger,docs/official-drive/2021-06-03-NDIS-Quality-Safeguards-Commission-not-an-employee.pdf,https://github.com/wezzo72/Barrandodger/blob/main/docs/official-drive/2021-06-03-NDIS-Quality-Safeguards-Commission-not-an-employee.pdf,04,Registration is not Commission employment.
BD-E-000006,Ombudsman PID review PID-2021-400008,2021-11-18,Commonwealth Ombudsman,review letter,A,opened,wezzo72/Barrandodger,docs/official-drive/2021-11-18-IBAC-PID-Rejection-400008R.pdf,https://github.com/wezzo72/Barrandodger/blob/main/docs/official-drive/2021-11-18-IBAC-PID-Rejection-400008R.pdf,05,Filename says IBAC. Letterhead is Ombudsman. Disclosure did not meet PID Act.
BD-E-000007,APRA letter refusing PID treatment,2021-11-05,APRA,letter,A,opened,wezzo72/Barrandodger,docs/official-drive/2021-11-13-APRA-reject-Whistleblower-Status.pdf,https://github.com/wezzo72/Barrandodger/blob/main/docs/official-drive/2021-11-13-APRA-reject-Whistleblower-Status.pdf,06,Outside remit. Concern about Dunstan correspondence is announced but not fully extracted.
BD-E-000008,OAIC courtesy-copy note EN21/12857,2021-11-03,OAIC,email,A,opened,wezzo72/Barrandodger,docs/official-drive/APRA-PID-rejection-Peter-Dunstan-EVIDENCE.pdf,https://github.com/wezzo72/Barrandodger/blob/main/docs/official-drive/APRA-PID-rejection-Peter-Dunstan-EVIDENCE.pdf,06,Does not action courtesy copies.
BD-E-000009,IBAC CASE-2020712,2020-04-09,IBAC Victoria,outcome letter,A,opened,wezzo72/Barrandodger,docs/official-drive/2020-04-09-IBAC-CASE-2020712-Outcome-letter.pdf,https://github.com/wezzo72/Barrandodger/blob/main/docs/official-drive/2020-04-09-IBAC-CASE-2020712-Outcome-letter.pdf,07,Not a public interest complaint. Part 6 protections said still to apply.
BD-E-000010,IBAC CASE-20231101 and CASE-20233846,2023-10-30,IBAC Victoria,outcome letter,A,opened,wezzo72/Barrandodger,docs/official-drive/2023-10-29-IBAC-CASE-20231101-CASE-20233846.pdf,https://github.com/wezzo72/Barrandodger/blob/main/docs/official-drive/2023-10-29-IBAC-CASE-20231101-CASE-20233846.pdf,07,Not investigated. Not a public interest disclosure. Protections said not to apply.
